Age [ka BP],Mo [ppm],U [ppm],ID,Core,t_transition_start,t_transition_end,tsid
9.93978,3.426853217,2.820875507,S1,MS21,10.5,9.7,1
9.94574,2.633499959,2.792193036,S1,MS21,10.5,9.7,1
9.9517,4.88594262,5.475167474,S1,MS21,10.5,9.7,1
9.95766,2.419703317,3.722773094,S1,MS21,10.5,9.7,1
9.96362,3.195737037,2.796484239,S1,MS21,10.5,9.7,1
9.96958,3.661489022,2.48154099,S1,MS21,10.5,9.7,1
9.97554,2.605955238,1.457011206,S1,MS21,10.5,9.7,1
9.9815,3.298726156,3.033603328,S1,MS21,10.5,9.7,1
9.98746,2.985207387,3.074163108,S1,MS21,10.5,9.7,1
9.99342,2.375441792,3.111853399,S1,MS21,10.5,9.7,1
9.99937,2.919432138,3.488206507,S1,MS21,10.5,9.7,1
10.00531,3.965808761,2.75880283,S1,MS21,10.5,9.7,1
10.01125,5.20850764,1.592170317,S1,MS21,10.5,9.7,1
10.01719,2.690741596,4.102179491,S1,MS21,10.5,9.7,1
10.02313,2.074298129,2.110252677,S1,MS21,10.5,9.7,1
10.02909,1.529293058,2.913569153,S1,MS21,10.5,9.7,1
10.03507,2.790376591,2.850914919,S1,MS21,10.5,9.7,1
10.04105,2.202815362,1.608464877,S1,MS21,10.5,9.7,1
10.04703,1.404024297,2.6287959,S1,MS21,10.5,9.7,1
10.05301,2.460618388,3.157156947,S1,MS21,10.5,9.7,1
10.05896,1.842517317,1.670525473,S1,MS21,10.5,9.7,1
10.06488,2.004968413,2.437242678,S1,MS21,10.5,9.7,1
10.0708,2.253439251,2.991609395,S1,MS21,10.5,9.7,1
10.07672,1.326805691,3.584950439,S1,MS21,10.5,9.7,1
10.08264,2.398856606,1.436607802,S1,MS21,10.5,9.7,1
10.08853,2.409567707,2.231217206,S1,MS21,10.5,9.7,1
10.09439,1.73256615,1.541888044,S1,MS21,10.5,9.7,1
10.10025,1.56427706,1.763360024,S1,MS21,10.5,9.7,1
10.10611,1.838612644,2.667252285,S1,MS21,10.5,9.7,1
10.11197,2.564400254,1.278743076,S1,MS21,10.5,9.7,1
10.11784,2.586061297,2.99709954,S1,MS21,10.5,9.7,1
10.12372,1.954877728,1.964670703,S1,MS21,10.5,9.7,1
10.1296,1.08547846,1.997672377,S1,MS21,10.5,9.7,1
10.13548,1.592863072,2.198640975,S1,MS21,10.5,9.7,1
10.14136,1.314049583,1.656967387,S1,MS21,10.5,9.7,1
10.14721,2.554994547,2.600834976,S1,MS21,10.5,9.7,1
10.15303,2.554566116,2.558105085,S1,MS21,10.5,9.7,1
10.15885,1.62655272,2.143115421,S1,MS21,10.5,9.7,1
10.16467,1.609021483,2.349459057,S1,MS21,10.5,9.7,1
10.17049,1.886514745,2.091194934,S1,MS21,10.5,9.7,1
10.17639,1.205589941,1.688571813,S1,MS21,10.5,9.7,1
10.18237,2.605104817,1.611624177,S1,MS21,10.5,9.7,1
10.18835,1.819908084,2.158620478,S1,MS21,10.5,9.7,1
10.19433,1.905887358,1.941907323,S1,MS21,10.5,9.7,1
10.20031,1.900294317,3.016043981,S1,MS21,10.5,9.7,1
10.2064,1.784040863,1.783612897,S1,MS21,10.5,9.7,1
10.2126,1.24808415,1.772184552,S1,MS21,10.5,9.7,1
10.2188,1.287224934,1.10616047,S1,MS21,10.5,9.7,1
10.225,1.75604707,1.761485804,S1,MS21,10.5,9.7,1
10.2312,1.301388096,1.507426591,S1,MS21,10.5,9.7,1
